geography code,reception_4yrs_5yrs_old_% obese,reception_4yrs_5yrs_old_Number measured,reception_4yrs_5yrs_old_Number obese,year_6_10yrs_11yrs_old_% obese,year_6_10yrs_11yrs_old_Number measured,year_6_10yrs_11yrs_old_Number obese
E02000384,0.12162162162162163,148,18,0.22162162162162163,185,41
E02000385,s,64,s,0.18518518518518517,54,10
E02000386,0.08403361344537816,238,20,0.2608695652173913,207,54
E02000387,0.11764705882352941,119,14,0.2248062015503876,129,29
E02000388,0.0847457627118644,118,10,0.19101123595505617,89,17
E02000389,0.10828025477707007,157,17,0.14444444444444443,90,13
E02000390,0.07692307692307693,104,8,0.22105263157894736,95,21
E02000391,0.1232876712328767,73,9,0.25757575757575757,66,17
E02000392,0.1347517730496454,141,19,0.2571428571428571,140,36
E02000393,0.125,72,9,s,52,s
E02000394,0.13736263736263737,182,25,0.2781456953642384,151,42
E02000395,s,53,s,s,29,s
E02000396,0.1388888888888889,180,25,0.2619047619047619,126,33
E02000397,0.13025210084033614,238,31,0.21637426900584794,171,37
E02000398,0.2,325,65,0.26811594202898553,276,74
E02000400,0.06296296296296296,270,17,0.20920502092050208,239,50
E02000401,0.1608695652173913,230,37,0.2527881040892193,269,68
E02000402,0.16226415094339622,265,43,0.2852112676056338,284,81
E02000403,0.11682242990654206,214,25,0.22580645161290322,124,28
E02000404,0.12301587301587301,252,31,0.24,225,54
E02000405,0.04782608695652174,230,11,0.09844559585492228,193,19
E02000406,0.14479638009049775,221,32,0.3485714285714286,175,61
E02000407,0.14534883720930233,344,50,0.28512396694214875,242,69
E02000408,0.15718157181571815,369,58,0.28040540540540543,296,83
E02000409,0.17,200,34,0.29596412556053814,223,66
E02000410,s,191,s,0.07142857142857142,196,14
E02000411,0.17272727272727273,330,57,0.2958199356913183,311,92
E02000412,0.13812154696132597,181,25,0.271523178807947,151,41
E02000413,0.05198776758409786,327,17,0.10526315789473684,304,32
E02000414,0.15151515151515152,231,35,0.24056603773584906,212,51
E02000415,0.10849056603773585,212,23,0.2229299363057325,157,35
E02000416,0.08450704225352113,213,18,0.19230769230769232,208,40
E02000417,s,141,s,0.08461538461538462,130,11
E02000418,0.03867403314917127,181,7,0.1366906474820144,139,19
E02000419,0.0945945945945946,222,21,0.19852941176470587,136,27
E02000420,0.156,250,39,0.3128491620111732,179,56
E02000421,0.1220472440944882,254,31,0.2616822429906542,214,56
E02000422,0.10646387832699619,263,28,0.2803347280334728,239,67
E02000423,0.11695906432748537,171,20,0.2653061224489796,98,26
E02000424,0.05339805825242718,206,11,0.11764705882352941,170,20
E02000425,0.13333333333333333,135,18,0.2366412213740458,131,31
E02000426,0.04697986577181208,149,7,0.14432989690721648,97,14
E02000427,0.059113300492610835,203,12,0.2978723404255319,141,42
E02000428,0.1,250,25,0.33183856502242154,223,74
E02000429,0.03208556149732621,187,6,0.08,100,8
E02000430,0.030612244897959183,196,6,0.1328125,128,17
E02000431,s,109,s,0.13043478260869565,69,9
