geography code,reception_4yrs_5yrs_old_% obese,reception_4yrs_5yrs_old_Number measured,reception_4yrs_5yrs_old_Number obese,year_6_10yrs_11yrs_old_% obese,year_6_10yrs_11yrs_old_Number measured,year_6_10yrs_11yrs_old_Number obese
E02000432,0.07042253521126761,142,10,0.2421875,128,31
E02000433,0.1015625,128,13,0.13675213675213677,117,16
E02000434,0.13675213675213677,234,32,0.20812182741116753,197,41
E02000435,0.095,200,19,0.17766497461928935,197,35
E02000436,0.06766917293233082,133,9,0.21238938053097345,113,24
E02000437,0.10740740740740741,270,29,0.18222222222222223,225,41
E02000438,0.11467889908256881,218,25,0.24509803921568626,204,50
E02000439,0.11212121212121212,330,37,0.22380952380952382,210,47
E02000440,0.07,300,21,0.1694915254237288,295,50
E02000441,0.09210526315789473,152,14,0.14,150,21
E02000442,0.11392405063291139,316,36,0.22992700729927007,274,63
E02000443,0.11170212765957446,376,42,0.23026315789473684,304,70
E02000444,0.09375,288,27,0.18532818532818532,259,48
E02000445,0.1261682242990654,428,54,0.26582278481012656,316,84
E02000447,0.061224489795918366,196,12,0.19428571428571428,175,34
E02000448,0.09770114942528736,174,17,0.1527777777777778,144,22
E02000449,0.1044776119402985,268,28,0.22641509433962265,265,60
E02000451,0.05421686746987952,166,9,0.15384615384615385,169,26
E02000452,0.09061488673139159,309,28,0.17391304347826086,207,36
E02000453,0.08,225,18,0.20526315789473684,190,39
E02000454,0.056338028169014086,284,16,0.13333333333333333,180,24
E02000455,0.11739130434782609,230,27,0.23134328358208955,134,31
E02000456,0.06965174129353234,201,14,0.20670391061452514,179,37
E02000457,0.06349206349206349,189,12,0.18857142857142858,175,33
E02000459,0.12202380952380952,336,41,0.27615062761506276,239,66
E02000460,0.07835820895522388,268,21,0.20416666666666666,240,49
E02000461,0.08904109589041095,146,13,0.22340425531914893,94,21
